__v,_id,ham,symbol,unicode
0,620275c703a2df5bb689958c,hamceeall hamextfingerul hampalmd hamshoulders hamparbegin hammovedr hamsmallmod hamreplace hampinchall hamparend,0,e00a e027 e03c e051 e0e2 e083 e0c6 e0aa e007 e0e3
0,620275c703a2df5bb689958d,hamfinger2 hamthumbacrossmod hamextfingeru hampalmu hamchest hamclose hammoveo hamsmallmod,1,e002 e00d e020 e038 e052 e0d0 e089 e0c6
0,620275c703a2df5bb689958e,hamfinger2 hamthumbacrossmod hamextfingeru hampalmd hamchest hamlrat hamplus hampinchall hamextfingeru hampalml hamchest hamlrat,10,e002 e00d e020 e03c e052 e059 e0e7 e007 e020 e03e e052 e059
0,620275c703a2df5bb689958f,hamfinger2 hamthumbacrossmod hamextfingeru hampalmu hamchest hamclose hamparbegin hamreplace hamextfingerl hampalmd hamunderchin hamtouch hamparend hammovel hamsmallmod hamarcd hamsmallmod,hundred,e002 e00d e020 e038 e052 e0d0 e0e2 e0aa e026 e03c e04e e0d1 e0e3 e086 e0c6 e0bc e0c6
0,620275c703a2df5bb6899590,hamcee12 hamfingerstraightmod hamextfingeru hampalmd hamshoulders hamclose hamparbegin hamreplace hampinch12 hamfingerstraightmod hamparend hamrepeatfromstart,eleven,e009 e010 e020 e03c e051 e0d0 e0e2 e0aa e006 e010 e0e3 e0d8
0,620275c703a2df5bb6899591,hamcee12 hamfingerstraightmod hammiddlefinger hamfingerstraightmod hamextfingeru hampalmd hamshoulders hamparbegin hamreplace hampinch12 hamfingerstraightmod hammiddlefinger hamfingerstraightmod hamparend hamrepeatfromstart,twelve,e009 e010 e072 e010 e020 e03c e051 e0e2 e0aa e006 e010 e072 e010 e0e3 e0d8
0,620275c703a2df5bb6899592,hamfinger2345 hamthumbacrossmod hampinky hamdoublebent hamextfingeru hampalmu hamchest hamclose hamswinging hamslow,thirteen,e005 e00d e074 e013 e020 e038 e052 e0d0 e0a6 e0c9
0,620275c703a2df5bb6899593,hamfinger2 hamthumb hamfingerstraightmod hamextfingeru hampalml hamshoulders hamlrat hamnomotion hamplus hampinchall hamthumbacrossmod hamextfingeru hampalml hamshoulders hamlrat hamreplace hamfinger2 hamthumbacrossmod hamextfingerl hampalmdl hamshoulders hambetween hamlrat hamshoulders,1month,e002 e070 e010 e020 e03e e051 e059 e0af e0e7 e007 e00d e020 e03e e051 e059 e0aa e002 e00d e026 e03d e051 e0e6 e059 e051
0,620275c703a2df5bb6899594,hamfinger2345 hamthumbacrossmod hamindexfinger hamfingerbendmod hammiddlefinger hamfingerbendmod hamringfinger hamdoublebent hampinky hamdoublebent hamextfingeru hampalmdl hamstomach hamclose,2-3 finger bent,e005 e00d e071 e011 e072 e011 e073 e013 e074 e013 e020 e03d e053 e0d0
0,620275c703a2df5bb6899595,hamfinger23spread hamthumbacrossmod hamextfingeru hampalmd hamchest hamclose,2,e004 e00d e020 e03c e052 e0d0
0,620275c703a2df5bb6899596,hamfinger23spread hamthumbacrossmod hamextfingeru hampalml hamshoulders hamlrat hamreplace hamfinger23spread hamthumboutmod hamextfingerl hampalmdl hamshoulders hambetween hamlrat hamshoulders,2months,e004 e00d e020 e03e e051 e059 e0aa e004 e00c e026 e03d e051 e0e6 e059 e051
0,620275c703a2df5bb6899597,hamfinger2345 hamthumbacrossmod hampinky hamdoublebent hamextfingeru hampalmu hamchest hamclose hammoveo hamsmallmod,3,e005 e00d e074 e013 e020 e038 e052 e0d0 e089 e0c6
0,620275c703a2df5bb6899598,hamfinger2345 hamthumbacrossmod hamextfingeru hampalmu hamchest hamclose hammoveo hamsmallmod,4,e005 e00d e020 e038 e052 e0d0 e089 e0c6
0,620275c703a2df5bb6899599,hamfinger2345 hamthumboutmod hamextfingeru hampalmu hamchest hamclose hammoveo hamsmallmod,5,e005 e00c e020 e038 e052 e0d0 e089 e0c6
0,620275c703a2df5bb689959a,hamfist hamthumboutmod hamfingerhookmod hamextfingerl hampalml hamchest hamclose hammoveo hamsmallmod,6,e000 e00c e012 e026 e03e e052 e0d0 e089 e0c6
0,620275c703a2df5bb689959b,hamfinger2 hamthumbacrossmod hamfingerbendmod hamextfingeru hampalml hamshoulders hamlrat,7,e002 e00d e011 e020 e03e e051 e059
0,620275c703a2df5bb689959c,hamflathand hamthumboutmod hamringfinger hamfingerhookmod hampinky hamfingerhookmod hamextfingerl hampalml hamchest hamclose hammoveo hamsmallmod,8,e001 e00c e073 e012 e074 e012 e026 e03e e052 e0d0 e089 e0c6
0,620275c703a2df5bb689959d,hamflathand hamthumbacrossmod hamextfingerl hampalml hamchest hamclose,9,e001 e00d e026 e03e e052 e0d0
0,620275c703a2df5bb689959e,hamsymmpar hamfist hamthumboutmod hamextfingeru hampalmd hamtouch hamchest hamnomotion,a,e0e8 e000 e00c e020 e03c e0d1 e052 e0af
0,620275c703a2df5bb689959f,hamsymmlr hamalternatingmotion hamfinger2 hamextfingerl hampalml hamparbegin hamfingerside hamindexfinger hamplus hamfingerside hamindexfinger hamparend hamtouch hamchest hamcircleo hamtouch,about,e0e9 e0dd e002 e026 e03e e0e2 e07a e071 e0e7 e07a e071 e0e3 e0d1 e052 e092 e0d1
0,620275c703a2df5bb68995a0,hamflathand hamthumboutmod hamfingerstraightmod hamextfingerl hamparbegin hampalml hamplus hampalmr hamparend hamtouch hamchest hamtouch hammoveu,above,e001 e00c e010 e026 e0e2 e03e e0e7 e03a e0e3 e0d1 e052 e0d1 e080
0,620275c703a2df5bb68995a1,hamsymmpar hamfinger2345 hamthumboutmod hamextfingerir hampalmd hamchest hammoveol hamparbegin hamreplace hamfinger2345 hamfingerbendmod hamextfingero hamparend hamtouch,absorb,e0e8 e005 e00c e02d e03c e052 e088 e0e2 e0aa e005 e011 e029 e0e3 e0d1
0,620275c703a2df5bb68995a2,hamsymmlr hamfinger2345 hamthumboutmod hamextfingero hampalmd hamshoulders hamparbegin hammovei hamreplace hampinchall hamextfingerl hampalml hamparend hamtouch,accept,e0e9 e005 e00c e029 e03c e051 e0e2 e08c e0aa e007 e026 e03e e0e3 e0d1
0,620275c703a2df5bb68995a3,hamparbegin hamflathand hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingero hampalml hamplus hamextfingeru hampalmu hamparend hamparbegin hamfingerpad hamringfinger hampinky hamplus hamfingerside hampinky hamparend hamtouch hammoveo hamrepeatfromstart,access,e0e2 e001 e00c e0e7 e005 e00c e0e3 e0e2 e029 e03e e0e7 e020 e038 e0e3 e0e2 e077 e073 e074 e0e7 e07a e074 e0e3 e0d1 e089 e0d8
0,620275c703a2df5bb68995a4,hamsymmlr hamfist hamthumbacrossmod hamparbegin hamextfingerol hamplus hamextfingero hamparend hamparbegin hampalml hamplus hampalmr hamparend hamchest hamparbegin hammoveol hamplus hammoveir hamlargemod hamparend,accident,e0e9 e000 e00d e0e2 e028 e0e7 e029 e0e3 e0e2 e03e e0e7 e03a e0e3 e052 e0e2 e088 e0e7 e08d e0c7 e0e3
0,620275c703a2df5bb68995a5,hamfinger2 hampinky hamextfingeru hampalml hamshouldertop hamlrat hammovedl hamlargemod hamlrat hambelowstomach,accuse,e002 e074 e020 e03e e050 e059 e085 e0c7 e059 e054
0,620275c703a2df5bb68995a6,hamsymmlr hamfist hamextfingerl hampalml hamshoulders hammovei hamarcl hamstomach hamreplace hamflathand hamthumboutmod hamextfingerl hampalml hamlrat hamneck hamtouch,achakan,e0e9 e000 e026 e03e e051 e08c e0b9 e053 e0aa e001 e00c e026 e03e e059 e04f e0d1
