ham,symbol,unicode
hamceeall hamextfingerul hampalmd hamshoulders hamparbegin hammovedr hamsmallmod hamreplace hampinchall hamparend,0,e00a e027 e03c e051 e0e2 e083 e0c6 e0aa e007 e0e3
hamfinger2 hamthumbacrossmod hamextfingeru hampalmd hamchest hamlrat hamplus hampinchall hamextfingeru hampalml hamchest hamlrat,10,e002 e00d e020 e03c e052 e059 e0e7 e007 e020 e03e e052 e059
hamfinger2345 hamthumbacrossmod hampinky hamdoublebent hamextfingeru hampalmu hamchest hamclose hamswinging hamslow,13,e005 e00d e074 e013 e020 e038 e052 e0d0 e0a6 e0c9
hamflathand hamthumbacrossmod hamextfingerl hampalml hamchest hamclose,9,e001 e00d e026 e03e e052 e0d0
hamfinger23 hamthumbacrossmod hamextfingerl hampalmdl hamchest hamlrat hamclose hamplus hamfinger23 hamthumbacrossmod hamextfingeru hampalmu hamhead hamlrat hamclose hammoveur hamlargemod hammovedl hamlargemod hamfast hamplus hamfinger23 hamthumbacrossmod hamextfingerul hampalmul hamshoulders hamlrat hamclose hamplus hamcee12 hamextfingeror hampalml hamshoulders hamlrat hamclose hammoved hamslow,Artist,e003 e00d e026 e03d e052 e059 e0d0 e0e7 e003 e00d e020 e038 e040 e059 e0d0 e081 e0c7 e085 e0c7 e0c8 e0e7 e003 e00d e027 e03f e051 e059 e0d0 e0e7 e009 e02a e03e e051 e059 e0d0 e084 e0c9
hamsymmpar hamfinger2 hamthumboutmod hampinky hamparbegin hamextfingeru hampalmd hamplus hamextfingerr hampalmd hamparend hamshoulders hamlrat hamclose hamparbegin hamtwisting hamlargemod hammovel hamparend hamplus hamflathand hamthumboutmod hamextfingerl hampalml hamshoulders hamparbegin hammoveu hamsmallmod hamarcu hamreplace hampalmu hamparend,Coach,e0e8 e002 e00c e074 e0e2 e020 e03c e0e7 e022 e03c e0e3 e051 e059 e0d0 e0e2 e0a7 e0c7 e086 e0e3 e0e7 e001 e00c e026 e03e e051 e0e2 e080 e0c6 e0ba e0aa e038 e0e3
hamparbegin hamfinger2 hamthumbopenmod hamfingerbendmod hamplus hamfinger2 hamthumbopenmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hampalmr hamparend hamparbegin hamindexfinger hamfingerpad hamplus hamindexfinger hamfingerpad hamparend hamtouch hamlrat hamshoulders hamclose hammover hamsmallmod hamplus hamparbegin hamfinger2 hamthumbopenmod hamfingerbendmod hamplus hamfinger2 hamthumbopenmod hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hampalmr hamparend hamparbegin hamindexfinger hamfingermidjoint hamplus hamindexfinger hamfingerpad hamparend hamtouch hamshoulders hamlrat hamclose hamplus hamsymmlr hamfinger2 hamthumbacrossmod hamextfingerol hampalmd hamchest hamclose hamplus hamsymmlr hamfinger2 hamthumbacrossmod hamextfingero hampalmd hamchest hamclose hammover,Demand_Draft,e0e2 e002 e00e e011 e0e7 e002 e00e e0e3 e0e2 e020 e03e e0e7 e020 e03a e0e3 e0e2 e071 e077 e0e7 e071 e077 e0e3 e0d1 e059 e051 e0d0 e082 e0c6 e0e7 e0e2 e002 e00e e011 e0e7 e002 e00e e0e3 e0e2 e020 e03e e0e7 e020 e03a e0e3 e0e2 e071 e078 e0e7 e071 e077 e0e3 e0d1 e051 e059 e0d0 e0e7 e0e9 e002 e00d e028 e03c e052 e0d0 e0e7 e0e9 e002 e00d e029 e03c e052 e0d0 e082
hamsymmlr hamflathand hamthumboutmod hamextfingerul hampalmd hamtouch hamlips hamclose hamplus hamsymmlr hamflathand hamthumboutmod hamextfingeru hampalml hamlips hamclose hamplus hamsymmlr hamfinger2345 hamthumboutmod hamextfingerol hampalmd,Destroy,e0e9 e001 e00c e027 e03c e0d1 e04a e0d0 e0e7 e0e9 e001 e00c e020 e03e e04a e0d0 e0e7 e0e9 e005 e00c e028 e03c
hamfinger2 hamthumbacrossmod hamfingerstraightmod hamextfingeru hampalml hamforehead hamlrat hamtouch hamplus hamparbegin hamfinger2 hamthumbacrossmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingeru hampalmr hamparend hamparbegin hamindexfinger hamfingerpad hamplus hamindexfinger hamfingerpad hamparend hamtouch hamlrat hamshoulders hamclose hamplus hamsymmlr hamfinger2345 hamthumboutmod hamextfingeru hampalmdl hamchest hamclose hamreplace hamfinger2345 hamthumboutmod hamextfingeru hampalmul hamchest hamclose hamreplace hamfinger2345 hamthumboutmod hamextfingeru hampalmdl hamchest hamclose hamrepeatfromstart,Disagree,e002 e00d e010 e020 e03e e042 e059 e0d1 e0e7 e0e2 e002 e00d e0e7 e002 e00d e0e3 e0e2 e028 e03c e0e7 e020 e03a e0e3 e0e2 e071 e077 e0e7 e071 e077 e0e3 e0d1 e059 e051 e0d0 e0e7 e0e9 e005 e00c e020 e03d e052 e0d0 e0aa e005 e00c e020 e03f e052 e0d0 e0aa e005 e00c e020 e03d e052 e0d0 e0d8
hamfist hamextfingeru hampalmul hamshouldertop hamlrat hamclose hamplus hamfist hamthumbacrossmod hamextfingerl hampalmul hamlrat hamchest hamclose,Force,e000 e020 e03f e050 e059 e0d0 e0e7 e000 e00d e026 e03f e059 e052 e0d0
hamparbegin hamflathand hamthumboutmod hamplus hamflathand hamthumboutmod hamparend hamparbegin hamextfingerd hampalmd hamplus hamextfingero hampalmu hamparend hamparbegin hammiddlefinger hamfingermidjoint hampalm hamplus hammiddlefinger hamfingerpad hamhandback hamparend hamtouch hamchest hamclose hamreplace hamflathand hamfingerstraightmod hamthumboutmod hamextfingerdl hampalml hamshoulders hamclose hamrepeatfromstart hamplus hamsymmlr hamfinger2345 hamthumboutmod hamfingerbendmod hamextfingero hampalmu hamshouldertop hamclose,Fry,e0e2 e001 e00c e0e7 e001 e00c e0e3 e0e2 e024 e03c e0e7 e029 e038 e0e3 e0e2 e072 e078 e067 e0e7 e072 e077 e068 e0e3 e0d1 e052 e0d0 e0aa e001 e010 e00c e025 e03e e051 e0d0 e0d8 e0e7 e0e9 e005 e00c e011 e029 e038 e050 e0d0
hamfinger2 hamthumbacrossmod hamfingerhookmod hamextfingeru hampalmu hamteeth hamtouch hamplus hamfinger2 hamthumbacrossmod hamfingerhookmod hamextfingeru hampalmd hamshouldertop hamlrat hamclose hamplus hamcee12 hamthumbacrossmod hamthumb hamfingerhookmod hamextfingerl hampalmd hamshoulders hamclose hamplus hamcee12 hamthumbacrossmod hamthumb hamfingerhookmod hamextfingeror hampalmu hamshouldertop hamlrat hamclose hamplus hamcee12 hamthumbacrossmod hamthumb hamfingerhookmod hamextfingerl hampalmd hamshoulders hamclose,Guard,e002 e00d e012 e020 e038 e04c e0d1 e0e7 e002 e00d e012 e020 e03c e050 e059 e0d0 e0e7 e009 e00d e070 e012 e026 e03c e051 e0d0 e0e7 e009 e00d e070 e012 e02a e038 e050 e059 e0d0 e0e7 e009 e00d e070 e012 e026 e03c e051 e0d0
hamfist hamextfingeru hampalmdl hamhead hamlrat hamclose hamcircleu hamplus hamfinger2345 hamthumboutmod hamextfingerul hampalml hamlips hamtouch hamplus hamfinger2345 hamfingerbendmod hamthumboutmod hamextfingerl hampalml hamstomach hamclose hamplus hamsymmlr hamparbegin hamflathand hamplus hamflathand hamparend hamparbegin hamextfingeru hampalml hamplus hamextfingeru hampalmr hamparend hamparbegin hammiddlefinger hamfingerpad hampalm hamplus hammiddlefinger hamfingerpad hampalm hamparend hamtouch hamlips hamclose,Guru_Nanak_Jayanti,e000 e020 e03d e040 e059 e0d0 e095 e0e7 e005 e00c e027 e03e e04a e0d1 e0e7 e005 e011 e00c e026 e03e e053 e0d0 e0e7 e0e9 e0e2 e001 e0e7 e001 e0e3 e0e2 e020 e03e e0e7 e020 e03a e0e3 e0e2 e072 e077 e067 e0e7 e072 e077 e067 e0e3 e0d1 e04a e0d0
hamsymmlr hampinch12open hamindexfinger hamfingerstraightmod hammiddlefinger hamfingerbendmod hamextfingeru hampalmdl hamshoulders hamclose hamplus hamsymmlr hamparbegin hamfinger2345 hamthumboutmod hamplus hamfinger2345 hamthumboutmod hamparend hamparbegin hamextfingerol hampalmd hamplus hamextfingerol hampalmdr hamparend hamchest hamclose,Hate,e0e9 e008 e071 e010 e072 e011 e020 e03d e051 e0d0 e0e7 e0e9 e0e2 e005 e00c e0e7 e005 e00c e0e3 e0e2 e028 e03c e0e7 e028 e03b e0e3 e052 e0d0
hamparbegin hamfinger2 hamthumbacrossmod hamfingerhookmod hamplus hamfinger2 hamthumbacrossmod hamparend hamparbegin hamextfingerol hambetween hamextfingerl hampalmd hamplus hamextfingeru hampalmr hamparend hamparbegin hamfingernail hamindexfinger hamplus hamfingermidjoint hamindexfinger hamparend hamtouch hamchest,K,e0e2 e002 e00d e012 e0e7 e002 e00d e0e3 e0e2 e028 e0e6 e026 e03c e0e7 e020 e03a e0e3 e0e2 e076 e071 e0e7 e078 e071 e0e3 e0d1 e052
